,(clears throat),
Nomi,"(Nomi) The question is,",
,,
,"why these people, why these minds?",
,,
,"Why not a mind that feels, I don't know,",
,more in sync with my own?,
,,
Grace,Maybe that's the point.,
Nomi,How so?,
,,
Grace,I teach a class on evolution,
,"every semester,",
,,
,"and we talk about the engine of evolution,",
,which is variation.,
,,
,I imagine that to be something more than,
,"what evolution would define as ""yourself,""",
,,
,you'd need something different,
,from yourself.,
,,
,(creaking),
,,1
Prison Officer,(guard) You'll sleep here tonight.,
,,
,"Tomorrow, you'll be transferred",
,to Cheongju Prison.,
,,1
Nomi,It's completely crazy-making,
,"how all of these emotions,",
,,
,they just come bubbling up out of nowhere.,
,,
Grace,Sounds like menopause.,
,,
Neets,Emotions are connected to the nervous,
,"system, which would be affected by",
,,
,what is happening to your brain.,
Nomi,"Yeah. 'Cause what I want to know,",
,,
,is there a way that I can stop it,
,"from happening, or at least control it?",
,,
,"Like ADD, where I can take a drug",
,and limit the effect that it has on me?,
,,
,"Or is it like Alzheimer's,",
,,
,"and that sense of me-ness will slowly,",
,inevitably disintegrate?,
,,
,(crying),
,,
,(softly sobs),
,,
Sun,Hello?,
,,
Riley,"God, I'm sorry.",
,,
Sun,You don't have to apologize.,
,,
Riley,I thought I was alone.,
,,
Sun,"Me, too.",
,,
Riley,I'm Riley.,
,,
Sun,Sun.,
,,
Riley,Sun?,
,,
,Seriously?,
,,
Sun,Yes.,
Riley,"Wow, that is so weird.",
,,
Sun,Why?,
,,
Riley,Look.,
,,
Sun,"(Sun) ""I have conversed",
,"with the spiritual sun.""",
,,
Riley,"I come here after working a long night,",
,"to smoke, and... converse with the sun.",
,,
Sun,I would kill for a cigarette. (sighs),
,,
Riley,All I got is hash.,
Sun,What is hash?,
,,
Riley,"It's like pot, but better.",
,,
Sun,Will this work?,
,,
Riley,Can't hurt to try.,
,,
Sun,I can taste it...,
,,
,but it's more like a... memory.,
,,
,It makes you feel good?,
,,
Riley,Sometimes.,
,,
,"In Iceland, we have a saying that",
,,
,it's not the drugs,
,"that make a drug addict,",
,,
,it's the need to escape reality.,
,,
Sun,I understand.,
,,
Riley,Why are you here?,
,,
,If you don't mind me asking.,
,,
Sun,(sighs),
,,
,I'm afraid I've just made,
,the biggest mistake of my life.,
,,1
,(man on screen) Ah!,
,,
,(man yells on screen),
Capheus,Time to go?,
,,
,"Good, let's go.",
,,
Amondi,Watching Van Damme again?,
,,
Capheus,"Ah, yes.",
,,
,Jean-Claude is a source of inspiration.,
,,
Amondi,Inspiration to do what?,
,,
Capheus,"To believe you can make a difference,",
,"that if you are brave,",
,,
,you can fight to make the world,
,a more equal and just place.,
,,
Amondi,Hm. I like Jean-Claude.,
,,
,He wants to do the same thing,
,my dad wants to do.,
,,
Capheus,Really?,
Amondi,Yes.,
,,
,My dad says there are a lot of bad people,
,trying to hurt us and take our home away.,
,,
,"So we have to be brave and fight,",
,just like Jean-Claude.,
,,1
Sun,So we are both in trouble,
,because of someone else's crime.,
,,
Riley,I knew Jacks was no good.,
,,
Sun,I knew what Joong-Ki was doing.,
,,
,Why are we here?,
,,
Riley,Have you heard of the Hidden People?,
,,
,"In Iceland, there are small people,",
,,
,"like elves, who live in the land.",
,,
,"When I was young, I went into a cave",
,and I heard one singing.,
,,
,She was singing a song my mother,
